               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10664,            0.024855,                   0,          0.00074074,             0.18803,          0.00055727,          0.00013296,             0.08613,            0.014102,                   0,            0.070306,           0.0032993,           0.0032993
                   1,            0.087992,            0.021345,                   0,           0.0014815,             0.37607,           0.0037177,          0.00059117,            0.077713,            0.013231,                   0,            0.040175,           0.0065013,           0.0065013
                   2,            0.080358,             0.02222,                   0,           0.0025018,             0.63248,           0.0056314,           0.0012041,            0.074417,            0.013132,                   0,           0.0099115,           0.0095713,           0.0095713
                   3,            0.076409,            0.021363,                   0,           0.0022599,             0.53846,           0.0060614,           0.0014178,            0.075846,            0.013562,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.071886,            0.021634,                   0,           0.0029513,              0.7265,            0.025635,           0.0069163,             0.06705,            0.013677,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.066965,            0.021312,                   0,            0.061011,             0.36752,            0.074356,            0.026111,            0.061162,            0.013591,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.064969,            0.020413,                   0,             0.23677,             0.20513,             0.15797,            0.047469,            0.061297,            0.012428,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.061584,            0.019701,                   0,             0.48685,             0.23932,             0.27511,            0.087286,            0.057536,            0.012125,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.061193,            0.017941,                   0,             0.45606,             0.32479,             0.35689,              0.1375,            0.053817,            0.011501,                   0,            0.008614,            0.008614,            0.008614
                   9,             0.05867,             0.01868,                   0,             0.17696,             0.15385,             0.11211,            0.040065,            0.062369,            0.012829,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.056882,            0.017237,                   0,             0.48368,             0.35043,             0.34975,             0.11116,            0.054982,            0.011349,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.054451,            0.016998,                   0,              0.7165,             0.43205,             0.49333,             0.19186,             0.05104,            0.010693,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.053667,            0.017581,                   0,             0.76054,              0.4359,             0.48933,             0.18212,             0.04924,            0.010423,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.052715,            0.015884,                   0,             0.71442,              0.4188,             0.53269,             0.22199,             0.04927,            0.010045,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.052879,            0.015755,                   0,              0.6036,             0.49457,             0.51998,             0.20025,            0.050226,           0.0099068,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.051435,            0.015787,                   0,             0.84843,             0.47009,             0.60276,             0.21475,            0.049951,           0.0096489,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.051071,            0.015929,                   0,             0.68362,             0.58974,              0.6593,             0.25512,             0.04799,           0.0093105,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.050029,            0.015529,                   0,             0.72414,             0.47863,             0.58331,             0.22235,            0.048523,           0.0098617,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.049148,            0.014428,                   0,             0.80077,             0.54968,             0.66597,             0.24811,            0.049171,           0.0087344,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.048186,             0.01549,                   0,             0.78684,             0.59829,             0.69537,             0.25912,              0.0477,           0.0087038,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.047501,            0.014588,                   0,             0.73308,             0.64957,             0.68995,             0.29498,            0.047471,           0.0090102,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.047063,            0.013993,                   0,             0.70002,             0.57841,             0.62347,             0.25347,            0.047967,           0.0097642,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.046693,            0.013896,                   0,             0.82545,             0.61538,             0.71052,             0.29168,            0.044839,           0.0082808,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.046365,            0.014071,                   0,             0.75349,             0.64103,             0.70858,             0.29565,            0.045044,           0.0085225,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.045578,             0.01446,                   0,             0.78252,             0.57265,             0.67965,              0.2663,            0.046278,           0.0087261,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.044327,            0.013248,                   0,              0.7975,             0.61538,             0.71182,              0.3091,            0.043985,           0.0084618,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.044707,             0.01383,                   0,             0.74911,             0.68376,             0.74532,             0.30571,            0.045061,           0.0081549,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.043678,            0.012911,                   0,             0.72199,             0.66667,              0.7295,             0.27598,            0.044079,           0.0084214,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.043739,            0.013461,                   0,             0.80461,             0.66876,             0.75546,             0.31867,            0.044698,           0.0078316,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.041832,            0.013043,                   0,             0.85286,              0.7094,             0.75659,             0.33477,             0.04312,           0.0081746,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.042267,            0.012925,                   0,             0.76662,             0.70191,             0.73188,             0.30266,            0.043784,           0.0084078,                   0,            0.004258,            0.004258,            0.004258
                  31,             0.04226,            0.012745,                   0,             0.82442,             0.69231,             0.75161,             0.31556,            0.044214,           0.0081263,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.042457,            0.012738,                   0,             0.79906,              0.7094,             0.77924,             0.32084,            0.044262,           0.0078289,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.041157,            0.012816,                   0,             0.79091,             0.67895,               0.758,             0.32196,            0.043476,            0.007823,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.041034,            0.011891,                   0,             0.80298,             0.73154,             0.77932,             0.32674,            0.042443,           0.0078474,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.040067,            0.011626,                   0,              0.8207,             0.67521,             0.73842,             0.30332,            0.042545,           0.0083904,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.040009,            0.012423,                   0,             0.87906,             0.71795,             0.78836,             0.31924,            0.043296,           0.0077054,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.040138,            0.012416,                   0,             0.80076,             0.75214,             0.79933,             0.33262,            0.044591,           0.0078434,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.039749,            0.012507,                   0,             0.82029,             0.73504,             0.78739,             0.34043,            0.043404,           0.0080221,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.038807,            0.011927,                   0,             0.87984,              0.7265,             0.78836,             0.33536,            0.042502,           0.0079189,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.038211,            0.011863,                   0,              0.8856,             0.70085,             0.79858,             0.33282,             0.04226,           0.0079643,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.038087,            0.011442,                   0,             0.79012,              0.7265,             0.78829,             0.34243,            0.042137,           0.0078335,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.03889,            0.011895,                   0,             0.92191,             0.70634,             0.79877,              0.3316,            0.043025,           0.0078863,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.037636,            0.011807,                   0,             0.88091,             0.76923,             0.79945,              0.3385,            0.043084,           0.0077745,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.03707,            0.011465,                   0,             0.83459,             0.77625,             0.81255,             0.36199,            0.041375,           0.0076496,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.037253,            0.011395,                   0,             0.86024,             0.74359,               0.813,             0.33946,            0.042946,           0.0077896,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.037125,             0.01167,                   0,             0.83154,             0.81197,             0.82944,             0.35299,            0.041448,           0.0075263,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.035838,            0.011336,                   0,             0.84474,             0.74359,             0.81737,             0.35351,             0.04226,           0.0076417,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.036011,            0.011028,                   0,             0.88108,             0.75987,             0.82006,             0.36129,            0.041989,           0.0075258,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.036501,            0.011213,                   0,             0.84383,             0.78509,             0.82316,             0.35495,            0.042205,           0.0076544,                   0,            0.000496,            0.000496,            0.000496
